0	42.239810,-71.812493	Gate (Lower)	1	6				
1	42.238934,-71.811948	Gate (Front)	0	4				
2	42.236776,-71.810051	Field House	12	13	27			
3	42.238472,-71.810967	Haberlin (Front)	10					
4	42.239000,-71.810545	Guard Shack	1	5	59			
5	42.239605,-71.811450	Tennis Court \u{e015}	4	6				
6	42.240505,-71.811196	Fitton Baseball Field \u{e016}	0	5	7	21		
7	42.241565,-71.809904	Fitton Football Field \u{e42b}	6					
8	42.239830,-71.809676	Stein (First Floor) \u{1F4DA}	19	21				
9	42.239445,-71.809770	Stein (Front)	59	60				
10	42.238545,-71.810316	Science Courtyard \u{1F52C}	3	58				
11	42.237625,-71.809466	Wheeler (East)	2	14	26	57		
12	42.236600,-71.808740	Ciampi Hall	27					
13	42.237556,-71.810118	Wheeler (West)	11	14				
14	42.238187,-71.809960	Smith Labs (Top) \u{2697}	11	13	57			
15	42.238515,-71.809723	Beaven Hall	57	77				
16	42.238360,-71.809150	Dinand Library (Front) \u{1F4DA}	57	61	62			
17	42.238920,-71.808808	O'Kane Hall (Front)	60	61				
18	42.239255,-71.808600	Public Safety \u{e152}	19	60	65			
19	42.239640,-71.808760	Carlin Hall (Bridge/Side)	8	18	20			
20	42.239870,-71.808700	Carlin Hall (Front)	19	21	22	32		
21	42.240594,-71.809437	Parking Garage \u{1F697}	6	8	20			
22	42.240160,-71.808000	Kimball (Front) \u{1F35D}	20	23	32	33		
23	42.239323,-71.807947	Fenwick Hall-Admissions Office	22	65	66			
24	42.238875,-71.808480	O'Kane Hall (Back) \u{1F4D6}	75	76				
25	42.238182,-71.809050	Dinand Library (Side) \u{1F4D6}	63					
26	42.237720,-71.808430	Hogan Student Center (Front)	11	27	63	64		
27	42.237385,-71.808110	Hogan Student Center (3rd Floor)	2	12	26	28	54	
28	42.237720,-71.807806	Hogan Student Center (Easy Street Entrance)	27	29	64			
29	42.237808,-71.807361	Healy Hall (Front)	28	69				
30	42.238353,-71.807750	Healy Hall (Back)	31	64	68			
31	42.238710,-71.807830	Smith Hall \u{1F4DA}	30	68				
32	42.239940,-71.807330	Alumni Hall (Front)	20	22	33	66		
33	42.240263,-71.807660	Kimball (Lower) \u{1F371}-Seelos Theater \u{1F39F}	22	32	45			
34	42.239900,-71.806135	Williams Hall	44	56	67			
35	42.239430,-71.806900	St. Joseph's Chapel \u{26ea}	36	56	66			
36	42.239270,-71.807280	Music Center \u{1F3B6} \u{1F3BB}	35	66	67	76		
37	42.238520,-71.806900	Lehy Hall (Back)	40	68	70			
38	42.237892,-71.806769	Lehy Hall (Front)	69	71				
39	42.237892,-71.806430	Hanselman Hall (Front)	48	71				
40	42.238520,-71.806325	Hanselman Hall (Back)	37	41	47	70		
41	42.238800,-71.806150	Campion House  \u{1F36A}	40	67				
42	42.238950,-71.805600	Millard Art Center \u{1F3A8}	43	67	73			
43	42.239300,-71.805600	Health Services \u{1F912}_Loyola Hall	42	46	67			
44	42.239374,-71.805335	Loyola Hall (Gym) \u{1F3FD}	34					
45	42.240800,-71.804700	Softball Field	33					
46	42.239000,-71.804890	Loyola Hall (Entrance 2)	43	73				
47	42.238350,-71.805435	Clark Hall (Back)	40	50	73			
48	42.237768,-71.805815	Clark Hall (Front)	39	72				
49	42.237470,-71.805050	Mulledy Hall (Entrance 1)	52	72				
50	42.237774,-71.804791	Mulledy Hall (Back)	47	51				
51	42.237460,-71.804524	Mulledy Hall (Common Room)	50					
52	42.237289,-71.804808	Mulledy Hall (Entrance 2)	49	74				
53	42.236650,-71.804830	Figge Hall	74					
54	42.235240,-71.806550	Hart Center (Front) \u{1F3C0} \u{1F3D2}	27	55				
55	42.234350,-71.806065	Hart Center (Back) \u{1F3D1} \u{26BD}	54					
56	42.239658,-71.807190	Alumni Hall (Bridge)	34	35	66			
57	42.238200,-71.809500	100	11	14	15	16		
58	42.238650,-71.809970	101	10	59	77			
59	42.239070,-71.810030	102	4	9	58	60		
60	42.239150,-71.809150	103	9	17	18	59	61	
61	42.238700,-71.809150	104	16	17	60	75	77	
62	42.238400,-71.808770	105	16	63				
63	42.238245,-71.808730	106	25	26	62	64		
64	42.238370,-71.808150	107	26	28	30	63	75	
65	42.239490,-71.808350	108	18	23	66			
66	42.239530,-71.807500	109	23	32	35	36	56	65
67	42.239170,-71.806080	110	34	36	41	42	43	
68	42.238650,-71.807250	111	30	31	37	69	76	
69	42.237900,-71.807050	112	29	38	68			
70	42.238420,-71.806580	113	37	40	71			
71	42.237900,-71.806565	114	38	39	70			
72	42.237700,-71.805400	115	48	49	73			
73	42.238650,-71.805200	116	42	46	47	72		
74	42.237100,-71.805100	117	52	53				
75	42.238670,-71.808200	118	24	61	64			
76	42.239030,-71.807250	119	24	36	68			
77	42.238650,-71.809723	120	15	57	58	61		